n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,mass_density,trotter2,0.07088592367145088,0.00030732550458775765,0.0012631284235962823,1.5954934144968291e-06,2.220446049250313e-16,0.5078356088561217,0.09863532245883996,0.031739725553507604,0.0003852942283548436
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,mass_density,exact,0.07119324917603864,0.0,0.0,0.0,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.015869862776753802,9.63235570887109e-05
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,mass_density,trotter1,0.07111653279570537,7.671638033326933e-05,0.018234771791885197,0.0003325069023021321,8.881784197001252e-16,0.5078356088561217,0.09863532245883996,0.015869862776753802,9.63235570887109e-05
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,mass_density,trotter2,0.07111653279570518,7.671638033346362e-05,0.0003153060733581552,9.941791989653836e-08,7.771561172376096e-16,0.5078356088561217,0.09863532245883996,0.015869862776753802,9.63235570887109e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.5,2,1.0,mass_density,exact,0.11729879306169323,0.0,0.0,0.0,8.881784197001252e-16,0.47154419806539244,0.009583379332925909,0.23577209903269622,0.002395844833231477
3,1.0,0.5,0.5,uniform_x,1.0,0.5,2,1.0,mass_density,trotter1,0.10349661503448088,0.013802178027212356,0.3315190675073053,0.10990489212091326,9.251858538542972e-16,0.47154419806539244,0.009583379332925909,0.23577209903269622,0.002395844833231477
3,1.0,0.5,0.5,uniform_x,1.0,0.5,2,1.0,mass_density,trotter2,0.10349661503448096,0.013802178027212272,0.09708063135496113,0.009424648984277861,3.7007434154171886e-16,0.47154419806539244,0.009583379332925909,0.23577209903269622,0.002395844833231477
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,mass_density,exact,0.11729879306169323,0.0,0.0,0.0,8.881784197001252e-16,0.47154419806539244,0.009583379332925909,0.11788604951634811,0.0005989612083078693
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,mass_density,trotter1,0.11414317631530913,0.0031556167463841073,0.15113535942754852,0.022841896869294276,2.220446049250313e-16,0.47154419806539244,0.009583379332925909,0.11788604951634811,0.0005989612083078693
3,1.0,0.5,0.5,uniform_x,1.0,0.25,4,1.0,mass_density,trotter2,0.11414317631530904,0.0031556167463841905,0.022647123209885968,0.0005128921896837557,3.3306690738754696e-16,0.47154419806539244,0.009583379332925909,0.11788604951634811,0.0005989612083078693
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,mass_density,exact,0.11729879306169323,0.0,0.0,0.0,8.881784197001252e-16,0.47154419806539244,0.009583379332925909,0.058943024758174055,0.00014974030207696732
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,mass_density,trotter1,0.11652630382382997,0.0007724892378632581,0.07221027227229647,0.005214323421639189,7.771561172376096e-16,0.47154419806539244,0.009583379332925909,0.058943024758174055,0.00014974030207696732
3,1.0,0.5,0.5,uniform_x,1.0,0.125,8,1.0,mass_density,trotter2,0.11652630382382989,0.0007724892378633413,0.005570188146015235,3.102699598200864e-05,1.7763568394002505e-15,0.47154419806539244,0.009583379332925909,0.058943024758174055,0.00014974030207696732
