n_sites,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
3,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter1,observable_error,1.017706428383206,0.21142887492718837,5
3,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter1,state_error,1.0264746956008657,1.3831227039518368,5
3,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter2,observable_error,2.1278320770532275,0.7641297068593084,5
3,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter2,state_error,2.046883843872459,0.853806306970786,5
3,1.0,1.0,0.5,neel_x,2.0,total_energy_density,trotter1,observable_error,0.8868887294746656,0.2998773562455748,5
3,1.0,1.0,0.5,neel_x,2.0,total_energy_density,trotter1,state_error,1.0309089760616141,1.0806775895372511,5
3,1.0,1.0,0.5,neel_x,2.0,total_energy_density,trotter2,observable_error,2.1276698719388585,0.28490448449995065,5
3,1.0,1.0,0.5,neel_x,2.0,total_energy_density,trotter2,state_error,2.0828965538638347,1.033999879957881,5
3,1.0,1.0,0.5,neel_x,4.0,total_energy_density,trotter1,observable_error,1.423856744670781,1.2739218559340937,5
3,1.0,1.0,0.5,neel_x,4.0,total_energy_density,trotter1,state_error,1.0840170081340081,1.7683710322647095,5
3,1.0,1.0,0.5,neel_x,4.0,total_energy_density,trotter2,observable_error,2.1269662579152944,0.7395378971786827,5
3,1.0,1.0,0.5,neel_x,4.0,total_energy_density,trotter2,state_error,2.038408904736999,1.8617554248186645,5
3,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter1,observable_error,1.1954887488508004,1.2096512608589334,5
3,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter1,state_error,1.037226072393301,0.9728583648910968,5
3,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter2,observable_error,2.099596112230869,0.5185882392700127,5
3,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter2,state_error,2.0573739495858776,0.49071085789777236,5
3,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter1,observable_error,1.560961516005757,0.8864776035462548,5
3,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter1,state_error,1.0360868363746987,1.0699173635399444,5
3,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter2,observable_error,2.041272202141153,0.41831143226367407,5
3,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter2,state_error,2.0242188091743496,0.5346887295062339,5
3,1.0,1.0,0.5,uniform_x,2.0,total_energy_density,trotter1,observable_error,1.0791140804288522,0.34215212457644273,5
3,1.0,1.0,0.5,uniform_x,2.0,total_energy_density,trotter1,state_error,1.1268900321547526,0.5029355751679767,5
3,1.0,1.0,0.5,uniform_x,2.0,total_energy_density,trotter2,observable_error,2.2856875754686006,0.07960607622751091,5
3,1.0,1.0,0.5,uniform_x,2.0,total_energy_density,trotter2,state_error,2.067865091237317,0.5896435970860469,5
3,1.0,1.0,0.5,uniform_x,4.0,total_energy_density,trotter1,observable_error,0.8883132052951882,0.33811054836654003,5
3,1.0,1.0,0.5,uniform_x,4.0,total_energy_density,trotter1,state_error,1.1255554520335933,0.8966331572359515,5
3,1.0,1.0,0.5,uniform_x,4.0,total_energy_density,trotter2,observable_error,2.2893088123200176,0.2924908607371594,5
3,1.0,1.0,0.5,uniform_x,4.0,total_energy_density,trotter2,state_error,2.0665826149698834,1.131948118103925,5
3,1.0,1.0,0.5,domain_wall_x,0.5,total_energy_density,trotter1,observable_error,1.1954887488507868,1.2096512608589103,5
3,1.0,1.0,0.5,domain_wall_x,0.5,total_energy_density,trotter1,state_error,1.0372260723931264,0.972858364890858,5
3,1.0,1.0,0.5,domain_wall_x,0.5,total_energy_density,trotter2,observable_error,2.099596112230699,0.518588239269882,5
3,1.0,1.0,0.5,domain_wall_x,0.5,total_energy_density,trotter2,state_error,2.0573739492095293,0.49071085763713224,5
3,1.0,1.0,0.5,domain_wall_x,1.0,total_energy_density,trotter1,observable_error,1.5609615160057502,0.8864776035462335,5
3,1.0,1.0,0.5,domain_wall_x,1.0,total_energy_density,trotter1,state_error,1.0360868363746045,1.0699173635397925,5
3,1.0,1.0,0.5,domain_wall_x,1.0,total_energy_density,trotter2,observable_error,2.0412722021408407,0.4183114322634655,5
