observable,q1_mean,c1_mean,q2_mean,c2_mean,delta_q,ratio_med_dtmin,defect1_response_mean,defect2_response_mean,corr_r1,corr_r2,corr_n1,corr_n2,qualitative_class
h_hop_density,1.1107006701779438,0.5755892341686559,2.028459318094535,0.25276873258247606,0.9177586479165911,43.737802023881166,1.8027440252168434,0.3322743980314081,0.679419719843145,0.8242190760181082,360,360,sensitive
electric_density,1.9455424854661123,0.3735375630395967,1.9455424854656673,0.37353756303987,-4.4497738826976274e-13,1.0000000000009814,1.430818478243437,0.1732866721048393,0.7627088976873315,0.804614931517498,360,360,blind
staggered_magnetization,2.0374510805377275,0.3740220659015411,2.0374510805419392,0.3740220659020365,4.211742066217994e-12,1.000000000000937,1.6287482616212088,0.25312222981162746,0.8308091383739384,0.7851740187961882,360,360,blind
mass_density,2.037451080537727,0.18701103295077048,2.037451080541939,0.18701103295101817,4.211742066217994e-12,1.000000000000937,0.8143741308106044,0.12656111490581373,0.8308091383739384,0.7851740187961882,360,360,blind
total_energy_density,1.20886902889222,0.738728825167483,2.0931403105138098,0.50428604116185,0.8842712816215899,36.29450717697705,1.0684753872422315,0.5666992281157909,0.5624341779300079,0.8529778185962916,360,360,sensitive
