observable,q1_mean,q1_min,q1_max,q2_mean,q2_min,q2_max,delta_q_mean,c1_mean,c1_min,c1_max,c2_mean,c2_min,c2_max,ratio_small_dt_median_e1_over_e2,defect1_response_mean,defect1_response_min,defect1_response_max,defect2_response_mean,defect2_response_min,defect2_response_max,corr_r1,corr_n1,corr_r2,corr_n2,class
h_hop_density,1.1107006701779438,0.22948958225211472,2.46403516583479,2.028459318094535,0.7029524040351655,3.5738951832270467,0.9177586479165911,0.5755892341686559,0.016790474624513024,1.393336300140682,0.25276873258247606,0.0012110471563333556,1.063093883699477,43.737802023881166,1.8027440252168434,0.027731183730748496,4.461243452785493,0.3322743980314081,0.01106192367691044,0.9909773072090913,0.679419719843145,360,0.8242190760181082,360,sensitive
electric_density,1.9455424854661123,0.49311761995987957,2.5539503389935425,1.9455424854656673,0.4931176199380505,2.5539503389668736,-4.4497738826976274e-13,0.3735375630395967,0.0009544235242342234,1.494437143378836,0.37353756303987,0.000954423524204571,1.4944371433804844,1.0000000000009814,1.430818478243437,0.017114541613968637,4.359696414924107,0.1732866721048393,0.002377414784977298,0.7914270394528704,0.7627088976873315,360,0.804614931517498,360,blind
staggered_magnetization,2.0374510805377275,1.3409239574871312,2.3879748897785817,2.0374510805419392,1.3409239574831906,2.3879748899154203,4.211742066217994e-12,0.3740220659015411,0.005991865592443599,1.4810440380961165,0.3740220659020365,0.005991865592303523,1.4810440380970142,1.000000000000937,1.6287482616212088,0.03796724299454958,5.103069461772826,0.25312222981162746,0.0019131280329112857,1.1465949663048152,0.8308091383739384,360,0.7851740187961882,360,blind
mass_density,2.037451080537727,1.3409239574871317,2.3879748897785826,2.037451080541939,1.3409239574831904,2.387974889915419,4.211742066217994e-12,0.18701103295077048,0.002995932796221799,0.740522019048057,0.18701103295101817,0.0029959327961517636,0.7405220190485056,1.000000000000937,0.8143741308106044,0.01898362149727479,2.551534730886413,0.12656111490581373,0.0009565640164556429,0.5732974831524076,0.8308091383739384,360,0.7851740187961882,360,blind
total_energy_density,1.20886902889222,-0.3756561757362431,2.4104236882612513,2.0931403105138098,1.8604683772209993,2.2893088123200176,0.8842712816215899,0.738728825167483,0.002843380633757683,2.4781258232957577,0.50428604116185,0.07960607622751091,1.622957124653756,36.29450717697705,1.0684753872422315,0.03744190210807119,3.834571200582089,0.5666992281157909,0.014239734544737863,2.35570182981437,0.5624341779300079,360,0.8529778185962916,360,sensitive
