n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.9714025343185688,0.9945112577855415,0.2428506335796422
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter1,1.3907835988204846,0.10921640117951492,0.48332969243416696,0.2336075915885064,6.291263806209221e-16,1.989022515571083,0.9714025343185688,0.9945112577855415,0.2428506335796422
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter2,1.6425592972040644,0.1425592972040648,0.24261885652891757,0.058863909543399484,4.070817756958907e-16,1.989022515571083,0.9714025343185688,0.9945112577855415,0.2428506335796422
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.9714025343185688,0.49725562889277075,0.06071265839491055
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter1,1.5555628035579614,0.05556280355796184,0.2626105568935107,0.06896430459191982,2.9605947323337506e-16,1.989022515571083,0.9714025343185688,0.49725562889277075,0.06071265839491055
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter2,1.5485988810284546,0.048598881028455,0.056286624650781616,0.0031681841145779766,4.440892098500626e-16,1.989022515571083,0.9714025343185688,0.49725562889277075,0.06071265839491055
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.9714025343185688,0.24862781444638538,0.015178164598727638
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter1,1.5527013785144743,0.05270137851447476,0.13594325078407143,0.018480567433740935,7.401486830834377e-16,1.989022515571083,0.9714025343185688,0.24862781444638538,0.015178164598727638
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter2,1.5126330788905102,0.012633078890510685,0.013818008905916552,0.00019093737012398915,1.1102230246251565e-15,1.989022515571083,0.9714025343185688,0.24862781444638538,0.015178164598727638
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.9714025343185688,0.12431390722319269,0.0037945411496819095
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter1,1.5325875207055502,0.0325875207055506,0.06910266383535017,0.0047751781491414125,1.8503717077085943e-16,1.989022515571083,0.9714025343185688,0.12431390722319269,0.0037945411496819095
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter2,1.5031849215103614,0.003184921510361871,0.003438741012467546,1.1824939750826324e-05,0.0,1.989022515571083,0.9714025343185688,0.12431390722319269,0.0037945411496819095
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.690906404921175,0.4547269260703003,0.17272660123029376
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter1,0.9814406563680226,0.5185593436319774,0.5506891760184256,0.3032585685838526,7.401486830834377e-16,0.9094538521406006,0.690906404921175,0.4547269260703003,0.17272660123029376
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter2,1.6492942793880072,0.1492942793880072,0.20524450242405531,0.04212530577529805,4.070817756958907e-16,0.9094538521406006,0.690906404921175,0.4547269260703003,0.17272660123029376
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.690906404921175,0.22736346303515015,0.04318165030757344
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter1,1.3334489297844783,0.16655107021552173,0.2965571239219417,0.08794612774885391,3.7007434154171886e-16,0.9094538521406006,0.690906404921175,0.22736346303515015,0.04318165030757344
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter2,1.5430340844220258,0.04303408442202583,0.04818061774164814,0.0023213719259668197,4.440892098500626e-16,0.9094538521406006,0.690906404921175,0.22736346303515015,0.04318165030757344
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.690906404921175,0.11368173151757507,0.01079541257689336
