n_sites,backend,split,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,h_hop_density,trotter1,observable_error,2.0475925328015596,0.3277808122169864,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,h_hop_density,trotter1,state_error,1.0569988082125257,1.0682943181834592,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,h_hop_density,trotter2,observable_error,2.0475925328016364,0.3277808122170178,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,h_hop_density,trotter2,state_error,2.064163797974673,0.7239815734858405,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,h_hop_density,trotter1,observable_error,2.003906812621158,0.3967947087861175,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,h_hop_density,trotter1,state_error,1.0349485011568045,1.0138082231845442,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,h_hop_density,trotter2,observable_error,2.003906812621205,0.39679470878614315,4
4,dense,swapped,1.0,1.0,0.5,split_a_ground,1.0,h_hop_density,trotter2,state_error,2.036581612578676,0.7858870863857932,4
