n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,exact,0.6001908750243339,0.0,0.0,0.0,8.881784197001252e-16,1.8447387704594362,0.1421079249315324,0.9223693852297181,0.0355269812328831
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,trotter1,0.7045180020891308,0.10432712706479697,0.5430252095345537,0.294876378190046,6.661338147750939e-16,1.8447387704594362,0.1421079249315324,0.9223693852297181,0.0355269812328831
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,trotter2,0.43057007348719034,0.16962080153714354,0.2788336683582553,0.07774821461012149,6.106226635438361e-16,1.8447387704594362,0.1421079249315324,0.9223693852297181,0.0355269812328831
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,exact,0.6001908750243339,0.0,0.0,0.0,8.881784197001252e-16,1.8447387704594362,0.1421079249315324,0.46118469261485906,0.008881745308220775
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,trotter1,0.7039700527960259,0.10377917777169199,0.3005476063018326,0.09032886365376136,8.881784197001252e-16,1.8447387704594362,0.1421079249315324,0.46118469261485906,0.008881745308220775
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,trotter2,0.5674079886082118,0.03278288641612204,0.06489931857195551,0.00421192155110417,7.494005416219807e-16,1.8447387704594362,0.1421079249315324,0.46118469261485906,0.008881745308220775
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,exact,0.6001908750243339,0.0,0.0,0.0,8.881784197001252e-16,1.8447387704594362,0.1421079249315324,0.23059234630742953,0.002220436327055194
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,trotter1,0.6648122761498181,0.0646214011254842,0.1563758362354318,0.024453402158330584,9.992007221626409e-16,1.8447387704594362,0.1421079249315324,0.23059234630742953,0.002220436327055194
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,trotter2,0.5925052602970884,0.007685614727245493,0.015931208685686135,0.00025380341018688135,1.3600232051658168e-15,1.8447387704594362,0.1421079249315324,0.23059234630742953,0.002220436327055194
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,h_hop_density,exact,0.6001908750243339,0.0,0.0,0.0,8.881784197001252e-16,1.8447387704594362,0.1421079249315324,0.11529617315371476,0.0005551090817637985
