n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,0.5,0.5,0.4,5,2.0,h_hop_density,exact,0.6993606380228867,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.4,5,2.0,h_hop_density,trotter1,0.6341959680913969,0.06516466993148984,0.39226365937207525,0.15387077846397146,6.661338147750939e-16
3,1.0,0.5,0.5,0.4,5,2.0,h_hop_density,trotter2,0.6978653129702876,0.0014953250525990835,0.14225605644165912,0.020236785594332507,3.3306690738754696e-16
3,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,exact,0.6993606380228867,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,trotter1,0.6979268866667632,0.0014337513561235582,0.17632768386119496,0.03109145209585351,2.220446049250313e-16
3,1.0,0.5,0.5,0.2,10,2.0,h_hop_density,trotter2,0.702081422727827,0.0027207847049403044,0.034441788387274214,0.001186236787313777,4.440892098500626e-16
3,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,exact,0.6993606380228867,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,trotter1,0.7045994792054334,0.005238841182546694,0.08333006080045427,0.006943899033007406,1.1842378929335002e-15
3,1.0,0.5,0.5,0.1,20,2.0,h_hop_density,trotter2,0.7002209301654704,0.0008602921425836518,0.008535351313534185,7.285222204544972e-05,3.7007434154171886e-16
3,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,exact,0.6993606380228867,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,trotter1,0.7032457199477505,0.003885081924863809,0.04049876307822141,0.0016401498108659096,2.6645352591003757e-15
3,1.0,0.5,0.5,0.05,40,2.0,h_hop_density,trotter2,0.6995867364103616,0.00022609838747489341,0.002129077783880662,4.53297220981419e-06,9.325873406851315e-15
3,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,exact,0.6993606380228867,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,trotter1,0.7015933115342009,0.002232673511314176,0.019963855380623785,0.0003985555216584613,1.1324274851176597e-14
3,1.0,0.5,0.5,0.025,80,2.0,h_hop_density,trotter2,0.6994178480277441,5.721000485736649e-05,0.0005319709422622613,2.8299308341139806e-07,2.6645352591003757e-15
3,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,exact,0.2578074029541026,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,trotter1,0.0983196433289262,0.1594877596251764,0.4250890208771476,0.18070067567029202,4.440892098500626e-16
3,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,trotter2,0.19709701368821259,0.06071038926589001,0.15319871168954557,0.02346984526333651,4.440892098500626e-16
3,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,exact,0.2578074029541026,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,trotter1,0.16311346249935407,0.09469394045474852,0.2070687641465312,0.04287747308517176,2.220446049250313e-16
3,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,trotter2,0.2411672364747871,0.016640166479315488,0.033855610628253756,0.0011462023710119285,7.401486830834377e-17
3,1.0,1.0,0.5,0.1,20,2.0,h_hop_density,exact,0.2578074029541026,0.0,0.0,0.0,5.921189464667501e-16
