n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.526297801184991,1.0291356432250676,0.13157445029624776
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter1,0.5403023058681393,0.12348958761661666,0.48332969243416696,0.2336075915885064,6.291263806209221e-16,2.058271286450135,0.526297801184991,1.0291356432250676,0.13157445029624776
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter2,0.8393176968386915,0.17552580335393553,0.24261885652891757,0.058863909543399484,4.070817756958907e-16,2.058271286450135,0.526297801184991,1.0291356432250676,0.13157445029624776
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.526297801184991,0.5145678216125338,0.03289361257406194
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter1,0.6366580901951628,0.02713380328959314,0.2626105568935107,0.06896430459191982,2.9605947323337506e-16,2.058271286450135,0.526297801184991,0.5145678216125338,0.03289361257406194
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter2,0.7106945221881422,0.04690262870338624,0.056286624650781616,0.0031681841145779766,4.440892098500626e-16,2.058271286450135,0.526297801184991,0.5145678216125338,0.03289361257406194
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.526297801184991,0.2572839108062669,0.008223403143515485
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter1,0.6571883263845932,0.006603567100162744,0.13594325078407143,0.018480567433740935,7.401486830834377e-16,2.058271286450135,0.526297801184991,0.2572839108062669,0.008223403143515485
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter2,0.6755573566861574,0.011765463201401372,0.013818008905916552,0.00019093737012398915,1.1102230246251565e-15,2.058271286450135,0.526297801184991,0.2572839108062669,0.008223403143515485
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.526297801184991,0.12864195540313345,0.0020558507858788712
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,electric_density,trotter1,0.6621518061940426,0.00164008729071341,0.06910266383535017,0.0047751781491414125,1.8503717077085943e-16,2.058271286450135,0.526297801184991,0.12864195540313345,0.0020558507858788712
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,electric_density,trotter2,0.666734181259165,0.0029422877744089693,0.003438741012467546,1.1824939750826324e-05,0.0,2.058271286450135,0.526297801184991,0.12864195540313345,0.0020558507858788712
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,electric_density,exact,0.5239490922108283,0.0,0.0,0.0,0.0,1.9384484019574453,0.334545475196522,0.9692242009787226,0.0836363687991305
