family,seed,parameter_name,parameter_value,t_final,nested_abs_initial,nested_abs_final,h_a_energy_density_initial,h_total_energy_density_initial,gauss_violation_initial,q1,power_prefactor_trotter1,q2,power_prefactor_trotter2,linear_prefactor_trotter1,quadratic_prefactor_trotter1,linear_prefactor_abs_trotter1,error_trotter1_dtmin,error_trotter2_dtmin,ratio_dtmin_e1_over_e2,exact_state_infidelity_from_initial
ha_evolved,neel_x,tau,0.0,0.5,7.999999999999998,3.6648377924220545,0.0,1.4999999999999998,2.220446049250313e-16,0.5361690450534659,0.17819049158292485,2.156862452432006,0.7055945232252723,0.6150925886751955,-0.8119128746243053,0.6150925886751955,0.03545620183180165,0.0018820993526073027,18.8386451452117,0.40452161055755853
ha_evolved,neel_x,tau,0.0,1.0,7.999999999999998,5.1565884140824885,0.0,1.4999999999999998,2.220446049250313e-16,1.0833448350608677,0.4315432107339397,2.2344101040202586,0.41546317400731597,0.34983492520194237,0.11986376061296757,0.34983492520194237,0.02155199887689896,0.0009155830088189987,23.539098770190883,0.41851572238774526
h_evolved,neel_x,tau,0.0,0.5,7.999999999999998,3.6648377924220545,0.0,1.4999999999999998,2.220446049250313e-16,0.5361690450534659,0.17819049158292485,2.156862452432006,0.7055945232252723,0.6150925886751955,-0.8119128746243053,0.6150925886751955,0.03545620183180165,0.0018820993526073027,18.8386451452117,0.40452161055755853
h_evolved,neel_x,tau,0.0,1.0,7.999999999999998,5.1565884140824885,0.0,1.4999999999999998,2.220446049250313e-16,1.0833448350608677,0.4315432107339397,2.2344101040202586,0.41546317400731597,0.34983492520194237,0.11986376061296757,0.34983492520194237,0.02155199887689896,0.0009155830088189987,23.539098770190883,0.41851572238774526
ha_evolved,neel_x,tau,0.25,0.5,5.67153947103405,2.131228448890504,0.0,1.2626581383574076,0.0,1.6590056403806335,0.2101868666702533,2.2192635043652555,0.36368719208395994,-0.07031818652214716,0.5878153367473293,0.07031818652214716,0.004180464815470963,0.0008326944894949673,5.020406485464354,0.6641876805104283
ha_evolved,neel_x,tau,0.25,1.0,5.67153947103405,4.851467951400776,0.0,1.2626581383574076,0.0,0.9173685280954221,0.216462046894531,2.311034719195596,0.20514646156843344,0.26982224430965823,-0.0885535115946241,0.26982224430965823,0.016721828407412875,0.0003743111785025066,44.67360145190239,0.6458898357676456
h_evolved,neel_x,tau,0.25,0.5,5.984102670560677,4.025925057106617,0.21876269931697548,1.4999999999999998,2.220446049250313e-16,0.2922303032481797,0.0397751760759252,2.1018774101463085,0.5269199856678607,0.2026769070729531,-0.28851883697074293,0.2026769070729531,0.01578853826574811,0.0016062254777089446,9.829590231795006,0.40452161055755886
h_evolved,neel_x,tau,0.25,1.0,5.984102670560677,5.708690962576666,0.21876269931697548,1.4999999999999998,2.220446049250313e-16,0.8639185526784225,0.18371209407248507,2.1434507722395835,0.4285224062030962,0.280394657684983,-0.18033624640412116,0.280394657684983,0.015937219273130687,0.0011814069225775103,13.490033762761424,0.41851572238774526
ha_evolved,neel_x,tau,0.5,0.5,0.49662187728398965,0.40769353551080906,0.0,0.6862655967313543,2.220446049250313e-16,1.169513699634505,0.6954789757698909,2.5714874497349447,0.1463490934829016,0.41474090367954936,0.4550946319755506,0.41474090367954936,0.02807468262890067,0.00013980586289052965,200.81191195024218,0.9292221260432917
ha_evolved,neel_x,tau,0.5,1.0,0.49662187728398965,2.5715678215297983,0.0,0.6862655967313543,2.220446049250313e-16,1.0570259688074395,0.20998648180838278,1.2544767810239,0.01115832736836598,0.15582002651556268,0.11748254695496427,0.15582002651556268,0.011683063588350029,0.000257246028769198,45.41591426794041,0.9029795518588841
h_evolved,neel_x,tau,0.5,0.5,3.6648377924220563,5.156588414082489,0.5999268692597987,1.5000000000000009,4.440892098500626e-16,0.5821714457791606,0.12481223943392122,2.002339797457298,0.42669863401113484,0.36889264736690436,-0.4407371428658762,0.36889264736690436,0.02257975061897255,0.0016546574264607594,13.646178512775093,0.40452161055755786
h_evolved,neel_x,tau,0.5,1.0,3.6648377924220563,5.471031674570754,0.5999268692597987,1.5000000000000009,4.440892098500626e-16,0.4186095276458561,0.026340575003824074,2.051863969308498,0.41120446353074125,0.1322831060467013,-0.2049625420193307,0.1322831060467013,0.006570527779943158,0.0014183727530802659,4.632440778119863,0.4185157223877446
ha_evolved,neel_x,tau,0.75,0.5,3.6770211797309704,0.09719698809468866,0.0,0.07323907751759164,2.220446049250313e-16,1.0080400537032514,0.6577489279670464,2.2879514947600494,0.15574308669988715,0.6443689732380343,0.020612977131771355,0.6443689732380343,0.040242354131818814,0.0003018628007096513,133.31339283016254,0.8411100228733275
ha_evolved,neel_x,tau,0.75,1.0,3.6770211797309704,0.8003325871746367,0.0,0.07323907751759164,2.220446049250313e-16,1.1077732666373237,0.41242947634964644,1.3957889084182389,0.0328108448693157,0.286617296648576,0.22339771472556944,0.286617296648576,0.019745541120608723,0.000533616828443384,37.00322041605871,0.9660367320052996
h_evolved,neel_x,tau,0.75,0.5,4.02592505710662,5.708690962576666,0.7701887427002223,1.5000000000000002,2.220446049250313e-16,0.8990374773509702,0.4434834739263368,1.990825724353559,0.3696822071417344,0.5689732083717822,-0.19639605539134727,0.5689732083717822,0.036252435813838635,0.0014753095352361134,24.57276588267741,0.404521610557558
h_evolved,neel_x,tau,0.75,1.0,4.02592505710662,5.953391936757972,0.7701887427002223,1.5000000000000002,2.220446049250313e-16,0.9648221681204359,0.373028193098703,1.983948630647554,0.49071330147309794,0.4654261197432181,-0.21389737687832955,0.4654261197432181,0.024529310334647753,0.001993039111552214,12.307490702249137,0.4185157223877447
ha_evolved,neel_x,tau,1.0,0.5,4.279161829643017,0.4656874224665615,0.0,-0.3295577417630455,0.0,0.8453633077909879,0.2730002670047815,2.112533053894953,0.20431032632596977,0.4286896359451142,-0.2812464312092842,0.4286896359451142,0.025093334779205945,0.0006064937171855744,41.374434834463266,0.65473388430833
ha_evolved,neel_x,tau,1.0,1.0,4.279161829643017,3.692292097495196,0.0,-0.3295577417630455,0.0,1.0079287147525706,0.579419892247337,1.6659302528958306,0.06669531058023787,0.5760963462313439,-0.00553978358522703,0.5760963462313439,0.03532713074951847,0.0005763025512846992,61.29962581419585,0.9810289517729405
h_evolved,neel_x,tau,1.0,0.5,5.156588414082488,5.47103167457075,0.6897314932689848,1.5000000000000002,0.0,0.8667007990625557,0.3695477491774035,2.039130112510996,0.45661896592257417,0.51015267078558,-0.2190483024056251,0.51015267078558,0.0329401588635046,0.0016239553236981341,20.28390706493821,0.404521610557558
h_evolved,neel_x,tau,1.0,1.0,5.156588414082488,6.838508664723478,0.6897314932689848,1.5000000000000002,0.0,1.149210255746303,1.0016036349792692,2.0420569593562257,1.0192649080502563,0.6848104969704576,0.45514555121892086,0.6848104969704576,0.04194236280961833,0.0035944903056132627,11.66851465536571,0.4185157223877446
ha_evolved,neel_x,tau,1.5,0.5,0.11928883980031799,3.0904430931182674,0.0,-0.49994992493785384,3.3306690738754696e-16,1.0701867956404967,0.30781566796825854,2.097062013087732,0.15703029956393147,0.2622795410892494,0.0613115004993609,0.2622795410892494,0.015876234377939155,0.00048409840803337323,32.795469091575,0.5441980331213401
ha_evolved,neel_x,tau,1.5,1.0,0.11928883980031799,2.7569812096831425,0.0,-0.49994992493785384,3.3306690738754696e-16,0.611812600160931,0.1824357162731189,2.280188281543162,0.18436097990679265,0.5365430449883037,-0.6619719258560022,0.5365430449883037,0.029738854513393198,0.0003658454913739728,81.28801697597987,0.96881320287492
h_evolved,neel_x,tau,1.5,0.5,5.4710316745707495,6.838508664723473,0.3108161612147487,1.5,3.700743415417188e-17,-1.1297927175216926,0.002730502702869403,2.061589567240456,1.064910954000606,0.48680808085245414,-0.9668287117714044,0.48680808085245414,0.027218693826570828,0.003579758793878729,7.603499395857036,0.4045216105575582
h_evolved,neel_x,tau,1.5,1.0,5.4710316745707495,2.9319802332942286,0.3108161612147487,1.5,3.700743415417188e-17,1.3945818859236083,0.77610288912061,2.1555142582964657,0.7621424887769208,0.21451788688031534,0.8300093325141351,0.21451788688031534,0.01724990344894073,0.0020367598176197488,8.469287001694564,0.4185157223877449
